2023-06-12 10:46:58.752
Trial Number,Time Stamp,Relative Start Time,Threat Present,Threat Position,Warning Generated,Trigger Pulled,Time Until Trigger Pull (10000 if not pulled),Time Until First Toggle,Detection Score,Tracking Score,RMS,On Tracker Screen Proportion,Toggle Count,Image 0, Image 1,Image 2,Image 3
28,2023-06-12 10:55:01.069,482318.0,true,0,DANGER,true,1914.0,857.0,4.043,7.0,56.859733756773316,0.805,2,269_0.82_conf.png,666_0.47_conf.png,422_0.0_conf.png,311_0.14_conf.png,
29,2023-06-12 10:55:17.081,498330.0,true,2,DANGER,false,10000.0,652.0,0.0,7.0,58.14266687516979,0.8542713567839196,2,620_0.17_conf.png,578_0.0_conf.png,39_0.8_conf.png,638_0.46_conf.png,
30,2023-06-12 10:55:34.805,516054.0,true,3,DANGER,true,3026.0,814.0,3.487,3.0,96.87576409761498,0.6482412060301508,2,433_0.11_conf.png,541_0.0_conf.png,93_0.22_conf.png,96_0.71_conf.png,
31,2023-06-12 10:55:50.33,531579.0,false,-1,CLEAR,false,10000.0,1063.0,5.0,5.0,80.14283152681845,0.76,2,432_0.0_conf.png,266_0.18_conf.png,770_0.0_conf.png,35_0.0_conf.png,
32,2023-06-12 10:56:05.674,546923.0,false,-1,CLEAR,false,10000.0,1790.0,5.0,0.0,198.6823443568425,0.7626262626262627,2,633_0.1_conf.png,210_0.0_conf.png,448_0.0_conf.png,781_0.0_conf.png,
33,2023-06-12 10:56:21.456,562705.0,false,1,DANGER,false,10000.0,858.0,5.0,5.0,78.00259209428827,0.855,2,424_0.0_conf.png,602_0.79_conf.png,2_0.17_conf.png,147_0.0_conf.png,
34,2023-06-12 10:56:40.62,581869.0,false,0,DANGER,false,10000.0,1725.0,5.0,3.0,93.13335965734798,0.775,3,219_0.78_conf.png,227_0.0_conf.png,652_0.12_conf.png,411_0.0_conf.png,
35,2023-06-12 10:56:57.704,598953.0,true,0,DANGER,true,1967.0,910.0,4.0165,8.0,40.48535712115772,0.85,2,216_0.92_conf.png,616_0.0_conf.png,258_0.37_conf.png,402_0.0_conf.png,
36,2023-06-12 10:57:12.711,613960.0,false,-1,CLEAR,false,10000.0,1545.0,5.0,3.0,97.69862943884371,0.815,2,521_0.24_conf.png,463_0.13_conf.png,57_0.24_conf.png,87_0.0_conf.png,
37,2023-06-12 10:57:27.55,628799.0,true,-1,CLEAR,true,3636.0,1292.0,3.182,5.0,77.87427668734651,0.7213930348258707,2,260_0.0_conf.png,696_0.17_conf.png,658_0.39_conf.png,277_0.0_conf.png,
38,2023-06-12 10:57:47.092,648341.0,false,-1,CLEAR,false,10000.0,1154.0,5.0,5.0,75.64174603812194,0.5522388059701493,4,370_0.0_conf.png,552_0.36_conf.png,186_0.0_conf.png,353_0.0_conf.png,
39,2023-06-12 10:58:02.32,663569.0,true,1,DANGER,true,1932.0,974.0,4.034,4.0,87.6467909037985,0.835,2,180_0.0_conf.png,53_0.99_conf.png,36_0.0_conf.png,661_0.0_conf.png,
40,2023-06-12 10:58:21.746,682995.0,false,3,DANGER,false,10000.0,1084.0,5.0,4.0,85.54258308393472,0.6666666666666666,2,326_0.17_conf.png,29_0.0_conf.png,582_0.0_conf.png,567_0.62_conf.png,
