2023-06-12 11:19:45.956
Trial Number,Time Stamp,Relative Start Time,Threat Present,Threat Position,Warning Generated,Trigger Pulled,Time Until Trigger Pull (10000 if not pulled),Time Until First Toggle,Detection Score,Tracking Score,RMS,On Tracker Screen Proportion,Toggle Count,Image 0, Image 1,Image 2,Image 3
1,2023-06-12 11:19:47.601,1647.0,false,2,DANGER,false,10000.0,843.0,5.0,0.0,160.31378870491307,0.6363636363636364,4,741_0.0_conf.png,419_0.0_conf.png,217_0.97_conf.png,145_0.11_conf.png,
2,2023-06-12 11:20:04.87,18916.0,false,1,DANGER,false,10000.0,701.0,5.0,0.0,159.47484986572837,0.6080402010050251,6,551_0.16_conf.png,546_0.55_conf.png,45_0.25_conf.png,61_0.26_conf.png,
3,2023-06-12 11:20:26.06,40106.0,false,-1,CLEAR,false,10000.0,895.0,5.0,10.0,24.6966697407638,0.8090452261306532,4,103_0.0_conf.png,641_0.0_conf.png,96_0.28_conf.png,318_0.2_conf.png,
4,2023-06-12 11:20:42.211,56257.0,false,-1,CLEAR,false,10000.0,1046.0,5.0,6.0,62.27980394604234,0.8140703517587939,4,414_0.0_conf.png,544_0.23_conf.png,118_0.3_conf.png,141_0.0_conf.png,
5,2023-06-12 11:20:57.3,71346.0,false,-1,CLEAR,false,10000.0,840.0,5.0,7.0,55.008297514630954,0.5628140703517588,6,747_0.0_conf.png,587_0.0_conf.png,75_0.11_conf.png,226_0.15_conf.png,
6,2023-06-12 11:21:11.766,85812.0,false,-1,CLEAR,false,10000.0,597.0,5.0,4.0,88.72875939027372,0.6161616161616161,5,689_0.0_conf.png,779_0.0_conf.png,38_0.14_conf.png,489_0.45_conf.png,
7,2023-06-12 11:21:26.776,100822.0,false,-1,CLEAR,false,10000.0,1130.0,5.0,7.0,52.699192726471026,0.715,7,636_0.45_conf.png,519_0.15_conf.png,568_0.0_conf.png,70_0.0_conf.png,
8,2023-06-12 11:21:42.032,116078.0,false,-1,CLEAR,false,10000.0,691.0,5.0,6.0,61.39730383140125,0.6515151515151515,10,181_0.0_conf.png,467_0.14_conf.png,450_0.0_conf.png,595_0.45_conf.png,
9,2023-06-12 11:21:56.994,131040.0,false,3,DANGER,false,10000.0,513.0,5.0,2.0,109.18640429268008,0.5920398009950248,10,347_0.0_conf.png,52_0.0_conf.png,84_0.0_conf.png,752_0.73_conf.png,
10,2023-06-12 11:22:13.291,147337.0,false,-1,CLEAR,false,10000.0,848.0,5.0,5.0,77.551449261182,0.6231155778894473,8,209_0.23_conf.png,577_0.0_conf.png,44_0.17_conf.png,130_0.24_conf.png,
