SUMMARY
Trial Number,Time Stamp,Relative Start Time,RMS
1,2023-06-12 11:19:07.887,1735.0,27.96814701553083
2,2023-06-12 11:19:23.639,17487.0,54.80921053830603
DETAIL
Trial Number,Time Stamp,Relative Start Time,Cursor X (Relative to Origin),Cursor Y(Relative to Origin),Joystick X,Joystick Y
1,2023-06-12 11:19:07.9,1748.0,0.0000,0.0000,0.0000,0.0000
1,2023-06-12 11:19:07.95,1798.0,0.1269,0.1578,-0.0039,-0.0020
1,2023-06-12 11:19:08.0,1848.0,0.6576,0.8699,-0.0039,-0.0020
1,2023-06-12 11:19:08.05,1898.0,1.0193,1.3943,-0.0039,-0.0020
1,2023-06-12 11:19:08.1,1948.0,1.8531,2.7235,-0.0039,-0.0020
1,2023-06-12 11:19:08.15,1998.0,2.2997,3.5106,-0.0039,-0.0020
1,2023-06-12 11:19:08.2,2048.0,3.2043,5.2935,-0.0020,-0.0020
1,2023-06-12 11:19:08.25,2098.0,4.0802,7.3135,-0.0020,-0.0020
1,2023-06-12 11:19:08.3,2148.0,4.4930,8.3986,-0.0020,-0.0020
1,2023-06-12 11:19:08.35,2198.0,5.2501,10.7319,-0.0020,0.0294
1,2023-06-12 11:19:08.4,2248.0,5.5901,12.0692,-0.0020,0.0863
1,2023-06-12 11:19:08.45,2298.0,6.1883,15.3778,-0.0020,0.2432
1,2023-06-12 11:19:08.5,2348.0,6.4467,17.4302,-0.0020,0.2902
1,2023-06-12 11:19:08.55,2398.0,6.8862,22.2749,-0.0020,0.3333
1,2023-06-12 11:19:08.6,2448.0,7.0700,24.9782,-0.0020,0.3333
1,2023-06-12 11:19:08.65,2498.0,7.3741,30.6650,-0.0020,0.2726
1,2023-06-12 11:19:08.7,2548.0,7.4976,33.4296,-0.0020,0.1588
1,2023-06-12 11:19:08.75,2598.0,7.7020,38.1809,-0.0000,-0.0469
1,2023-06-12 11:19:08.8,2648.0,7.7609,40.0221,-0.0195,-0.1953
1,2023-06-12 11:19:08.85,2698.0,7.6878,42.3289,-0.0508,-0.4121
1,2023-06-12 11:19:08.9,2748.0,7.5755,42.7144,-0.0488,-0.5273
1,2023-06-12 11:19:08.95,2798.0,7.3383,41.9240,-0.0215,-0.6758
1,2023-06-12 11:19:09.0,2848.0,7.1657,40.8471,-0.0508,-0.7187
1,2023-06-12 11:19:09.05,2898.0,6.6674,37.5267,-0.0586,-0.7852
1,2023-06-12 11:19:09.1,2948.0,6.3434,35.3926,-0.0645,-0.8105
1,2023-06-12 11:19:09.15,2998.0,5.5431,30.3890,-0.0684,-0.8359
1,2023-06-12 11:19:09.2,3048.0,5.0653,27.6035,-0.0742,-0.8418
1,2023-06-12 11:19:09.25,3098.0,3.9598,21.6255,-0.0645,-0.8457
1,2023-06-12 11:19:09.3,3148.0,3.3532,18.4824,-0.0645,-0.8555
1,2023-06-12 11:19:09.35,3198.0,1.9537,11.9822,-0.0879,-0.8555
1,2023-06-12 11:19:09.4,3248.0,1.1627,8.6550,-0.0918,-0.8555
1,2023-06-12 11:19:09.45,3298.0,-0.6357,1.9084,-0.1113,-0.8457
1,2023-06-12 11:19:09.5,3348.0,-1.6437,-1.4371,-0.1192,-0.8027
1,2023-06-12 11:19:09.55,3398.0,-4.0258,-7.5484,-0.2051,-0.6055
1,2023-06-12 11:19:09.6,3448.0,-5.4505,-10.1317,-0.2344,-0.4571
1,2023-06-12 11:19:09.65,3498.0,-8.3927,-14.1303,-0.1055,-0.2949
1,2023-06-12 11:19:09.7,3548.0,-9.6920,-15.5472,-0.0000,-0.2383
1,2023-06-12 11:19:09.75,3598.0,-11.4313,-17.0220,0.1961,-0.0449
1,2023-06-12 11:19:09.8,3648.0,-11.9597,-17.1505,0.1510,-0.0098
1,2023-06-12 11:19:09.85,3698.0,-12.5649,-16.5244,0.1843,-0.0020
1,2023-06-12 11:19:09.9,3748.0,-12.5033,-15.1040,0.2294,-0.0020
1,2023-06-12 11:19:09.95,3798.0,-12.2623,-14.1980,0.2294,-0.0020
1,2023-06-12 11:19:10.0,3848.0,-11.4609,-12.0985,0.2353,0.0196
1,2023-06-12 11:19:10.05,3898.0,-10.9441,-10.8909,0.2314,0.0471
1,2023-06-12 11:19:10.1,3948.0,-9.7085,-8.1358,0.2529,0.0824
1,2023-06-12 11:19:10.15,3998.0,-9.0070,-6.6155,0.2529,0.0863
